text;proc_text;A1;A2;A3;A4;A5;A6;majority_vote;roundID;Segment;WC;Analytic;Clout;Authentic;Tone;WPS;BigWords;Dic;Linguistic;function;pronoun;ppron;i;we;you;shehe;they;ipron;det;article;number;prep;auxverb;adverb;conj;negate;verb;adj;quantity;Drives;affiliation;achieve;power;Cognition;allnone;cogproc;insight;cause;discrep;tentat;certitude;differ;memory;Affect;tone_pos;tone_neg;emotion;emo_pos;emo_neg;emo_anx;emo_anger;emo_sad;swear;Social;socbehav;prosocial;polite;conflict;moral;comm;socrefs;family;friend;female;male;Culture;politic;ethnicity;tech;Lifestyle;leisure;home;work;money;relig;Physical;health;illness;wellness;mental;substances;sexual;food;death;need;want;acquire;lack;fulfill;fatigue;reward;risk;curiosity;allure;Perception;attention;motion;space;visual;auditory;feeling;time;focuspast;focuspresent;focusfuture;Conversation;netspeak;assent;nonflu;filler;AllPunc;Period;Comma;QMark;Exclam;Apostro;OtherP;Emoji
"How are you coping? Do you need some guidance or support. Get in touch to make a appointment.

Read more about who I do :point_down:
https://t.co/cXb2P6vwRy

#Coronavirus #stress #anxiety #fear #selfisolating #panic #loa #manifesting https://t.co/BiVhRR05zg";"How are you coping? Do you need some guidance or support. Get in touch to make a appointment.

Read more about who I do :point_down:


#Coronavirus #stress #anxiety #fear #selfisolating #panic #loa #manifesting ";PO;PO;PO;PO;UN;PO;PO;Round1;1;32;43.4;87.7;15.38;1;8;21.88;84.38;62.5;46.88;12.5;12.5;3.13;0;6.25;0;0;0;9.38;3.13;0;9.38;9.38;6.25;3.13;0;25;3.13;6.25;0;0;0;0;15.63;0;15.63;6.25;6.25;3.13;3.13;0;3.13;0;15.63;3.13;12.5;12.5;0;12.5;12.5;0;0;0;12.5;3.13;3.13;0;0;0;0;9.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.25;6.25;3.13;0;3.13;0;0;0;0;3.13;0;3.13;0;0;0;0;0;0;9.38;6.25;0;0;3.13;0;0;3.13;0;0;3.13;0;0;0;0;0;0;34.38;6.25;0;3.13;0;0;25;3.13
"I am entering my 5th month of unemployment, and my anxiety &amp; depression are getting worse. The bigger problem is that those symptoms—fatigue, shortness of breath, etc—resemble the ones of #COVID19 

I guess the big differentiator will be if I get a fever in the next few days.";"I am entering my 5th month of unemployment, and my anxiety &amp; depression are getting worse. The bigger problem is that those symptoms—fatigue, shortness of breath, etc—resemble the ones of #COVID19 

I guess the big differentiator will be if I get a fever in the next few days.";UN;PO;PP;PP;PP;PP;PP;Round1;1;50;69.05;1;92.35;1;25;24;90;68;50;14;10;10;0;0;0;0;4;22;10;6;8;10;0;4;0;16;12;12;0;0;0;0;8;0;8;2;0;0;4;0;4;0;8;0;8;6;0;6;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;10;8;2;0;2;0;0;0;0;0;0;4;2;0;2;0;0;0;4;4;0;2;2;0;0;0;6;0;6;2;0;0;0;0;0;16;4;6;0;0;0;6;0
Thinking about the Coronavirus gives me anxiety. When I have a panic attack, it feels like I can’t breathe. Not being able to breathe is a symptom of Coronavirus. It’s a vicious cycle. #panicattack #CoronavirusUSA #CoronavirusPandemic #Breathe;Thinking about the Coronavirus gives me anxiety. When I have a panic attack, it feels like I can’t breathe. Not being able to breathe is a symptom of Coronavirus. It’s a vicious cycle. #panicattack #CoronavirusUSA #CoronavirusPandemic #Breathe;PP;PO;PP;PP;PP;PP;PP;Round1;1;37;42.89;1;87;1;7.4;32.43;94.59;62.16;51.35;13.51;8.11;8.11;0;0;0;0;5.41;10.81;10.81;0;10.81;13.51;5.41;2.7;5.41;21.62;2.7;0;2.7;0;2.7;0;10.81;0;10.81;5.41;0;2.7;0;0;5.41;0;13.51;0;13.51;13.51;0;13.51;10.81;0;0;0;2.7;2.7;0;0;2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.62;13.51;5.41;0;5.41;0;0;0;0;0;0;0;0;0;0;0;0;0;5.41;5.41;0;2.7;0;0;0;2.7;5.41;0;13.51;0;0;0;0;0;0;29.73;10.81;2.7;0;0;5.41;10.81;0
"Emergency Alert — state of Illinois vs. state of Panic. 

I work in healthcare at a Level 1 Trauma Center — COVID-19 patients everywhere

We need more nurses and Healthcare workers need HAZARD PAY NOW!!! #EmergencyAlert #CoronaVirus https://t.co/1Z3RYU7ynX";"Emergency Alert — state of Illinois vs. state of Panic. 

I work in healthcare at a Level 1 Trauma Center — COVID-19 patients everywhere

We need more nurses and Healthcare workers need HAZARD PAY NOW!!! #EmergencyAlert #CoronaVirus ";PO;UN;PO;PP;PO;PP;NoMajority;Round1;1;35;92.95;85.08;24.32;1;11.67;28.57;82.86;40;34.29;5.71;5.71;2.86;2.86;0;0;0;0;5.71;2.86;5.71;14.29;0;5.71;2.86;0;5.71;2.86;2.86;8.57;2.86;2.86;2.86;11.43;2.86;8.57;0;0;5.71;0;0;2.86;0;8.57;0;8.57;5.71;0;5.71;2.86;0;0;0;11.43;0;0;0;0;0;0;11.43;0;0;0;0;0;0;0;0;8.57;0;0;5.71;2.86;0;14.29;14.29;5.71;0;2.86;0;0;0;0;8.57;0;0;0;0;0;0;5.71;0;11.43;14.29;2.86;0;11.43;0;0;0;2.86;0;2.86;0;0;0;0;0;0;22.86;5.71;0;0;8.57;0;8.57;0
"I'm 22 days into #SocialDistancing 
My spirit is gone, I go between panic, exhaustion and numbness. If you are still out there socializing, fuck you. #StayTheFHome #COVID19 #COVID19MA #stayhomestupid";"I'm 22 days into #SocialDistancing 
My spirit is gone, I go between panic, exhaustion and numbness. If you are still out there socializing, fuck you. #StayTheFHome #COVID19 #COVID19MA #stayhomestupid";PP;PO;PP;PP;PP;PP;PP;Round1;1;29;13.62;22.04;99;1;9.67;31.03;82.76;62.07;48.28;17.24;17.24;10.34;0;6.9;0;0;0;3.45;0;10.34;10.34;10.34;6.9;6.9;0;17.24;0;3.45;0;0;0;0;3.45;0;3.45;0;0;0;3.45;0;3.45;0;17.24;0;17.24;6.9;0;6.9;3.45;0;0;6.9;10.34;6.9;0;0;6.9;0;0;10.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.9;6.9;0;0;0;0;0;0;0;0;0;0;0;0;3.45;0;0;0;10.34;24.14;0;6.9;17.24;0;0;3.45;3.45;3.45;10.34;0;0;0;0;0;0;37.93;6.9;10.34;0;0;3.45;17.24;0
#Coronavirus and anxiety: 'Following the news made me have a panic attack' https://t.co/M1Zi38KHlI;#Coronavirus and anxiety: 'Following the news made me have a panic attack' ;PP;PO;?;PP;PO;PP;NoMajority;Round1;1;12;73.36;6.61;3.81;1;12;25;100;58.33;41.67;8.33;8.33;8.33;0;0;0;0;0;16.67;16.67;0;0;8.33;0;8.33;0;25;0;0;0;0;0;0;8.33;0;8.33;0;8.33;0;0;0;0;0;25;0;25;25;0;25;25;0;0;0;8.33;8.33;0;0;0;0;8.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;8.33;0;16.67;0;0;0;0;0;0;0;0;0;0;0;0;0;8.33;0;0;0;0;0;0;0;0;8.33;0;0;0;0;0;0;0;33.33;0;0;0;0;16.67;16.67;0
I’m sorry Its very hurtful to watch this vid for Pakistani child hit by #coronavirus and he’s in panic attack while his Dad holding him as he attempts to get checked in by the doctors ,God please have mercy on us and released up the humanity form the #Covid_19 pandemic..:pray|type_3::purple_heart: https://t.co/iPGp5Ke6Im;I’m sorry Its very hurtful to watch this vid for Pakistani child hit by #coronavirus and he’s in panic attack while his Dad holding him as he attempts to get checked in by the doctors ,God please have mercy on us and released up the humanity form the #Covid_19 pandemic..:pray|type_3::purple_heart: ;PO;PO;PO;PO;PO;PP;PO;Round1;1;50;78.84;98.38;1;1;50;22;92;60;52;16;12;2;2;0;8;0;4;12;6;2;20;6;2;8;0;10;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;12;2;10;6;0;6;4;0;0;0;22;6;6;2;0;0;0;16;2;0;0;10;2;0;2;0;6;0;0;2;0;4;12;10;4;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;6;12;4;0;6;2;0;2;2;2;4;0;2;2;0;0;0;16;4;2;0;0;4;6;4
"I had a panic attack while out doing a grocery run. I can't remember the last time I've felt so anxious that I couldn't breathe.
GROCERY STORE ANXIETY
#freeverse #poem #panicattack #covid #coronavirus #mentalhealth #anxiety https://t.co/3UUAqyNXt4 https://t.co/PJ3VXtEzzf";"I had a panic attack while out doing a grocery run. I can't remember the last time I've felt so anxious that I couldn't breathe.
GROCERY STORE ANXIETY
#freeverse #poem #panicattack #covid #coronavirus #mentalhealth #anxiety  ";PP;PO;PP;PP;PP;PP;PP;Round1;1;35;12.97;1;91.58;1;11.67;34.29;91.43;51.43;42.86;14.29;11.43;11.43;0;0;0;0;2.86;11.43;8.57;0;2.86;14.29;2.86;5.71;5.71;20;2.86;0;0;0;0;0;11.43;0;11.43;5.71;0;5.71;0;0;2.86;2.86;17.14;0;17.14;17.14;0;17.14;17.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86;0;0;0;2.86;0;20;11.43;5.71;0;5.71;0;0;5.71;0;0;0;0;0;0;0;0;0;0;5.71;8.57;0;2.86;2.86;0;0;2.86;5.71;11.43;2.86;0;0;0;0;0;0;34.29;5.71;0;0;0;8.57;20;0
"Anyone else find themselves having little panic attacks while watching TV and think ""OMG, social distancing!!!"" - then remember you're watching something filmed in the ""before-times""?

#cdnpoli #coronavirus #SocialDistancing 

Stay safe, folks!";"Anyone else find themselves having little panic attacks while watching TV and think ""OMG, social distancing!!!"" - then remember you're watching something filmed in the ""before-times""?

#cdnpoli #coronavirus #SocialDistancing 

Stay safe, folks!";PP;PO;PP;PO;PO;PP;NoMajority;Round1;1;31;17.22;88.59;97.57;1.4;10.33;35.48;87.1;67.74;38.71;16.13;9.68;3.23;0;3.23;0;3.23;6.45;3.23;3.23;0;3.23;6.45;3.23;9.68;0;19.35;12.9;3.23;0;0;0;0;19.35;0;19.35;9.68;0;0;6.45;0;3.23;3.23;9.68;3.23;6.45;6.45;0;6.45;6.45;0;0;0;16.13;0;0;0;0;0;0;12.9;3.23;0;0;0;3.23;0;0;3.23;6.45;6.45;0;0;0;0;9.68;9.68;3.23;0;6.45;0;0;0;0;0;0;0;0;0;0;0;3.23;0;9.68;16.13;6.45;0;6.45;6.45;0;0;6.45;3.23;3.23;0;3.23;3.23;0;0;0;54.84;0;6.45;3.23;12.9;3.23;29.03;0
"So I was told that side effects of COVID-19 are heavy chest and shortness of breath... soooo literally my crippling anxiety???

Like am I just gonna have a panic attack and not know if I'm dying or if it's my mind, and have the ultimate panic attack OR¿¿¿
#Covid_19 #anxiety";"So I was told that side effects of COVID-19 are heavy chest and shortness of breath... soooo literally my crippling anxiety???

Like am I just gonna have a panic attack and not know if I'm dying or if it's my mind, and have the ultimate panic attack OR¿¿¿
#Covid_19 #anxiety";PP;PO;PP;PP;PO;PP;PP;Round1;1;50;3.8;1;92.35;1;16.67;18;94;66;56;14;10;10;0;0;0;0;4;10;4;4;8;16;4;16;2;20;4;2;0;0;0;0;16;0;16;4;2;0;8;0;10;0;14;2;12;12;0;12;12;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;10;2;0;8;0;0;0;2;0;0;0;0;0;0;0;0;0;8;4;0;0;2;0;0;2;0;4;8;2;4;4;0;0;2;32;6;2;12;0;4;8;0
Funny enough my #Anxiety and #depression have virtually disappeared during #COVID19. Those endless nights experiencing panic attacks anticipating worst case scenarios over minute things prepped me for this. I’m numb while the world trembles. It’s poetic. #mentalhealth;Funny enough my #Anxiety and #depression have virtually disappeared during #COVID19. Those endless nights experiencing panic attacks anticipating worst case scenarios over minute things prepped me for this. I’m numb while the world trembles. It’s poetic. #mentalhealth;PP;PP;PP;PO;PO;PP;PP;Round1;1;37;27.81;7.05;99;1;7.4;35.14;81.08;59.46;43.24;18.92;8.11;8.11;0;0;0;0;10.81;13.51;2.7;2.7;8.11;8.11;2.7;5.41;0;10.81;13.51;5.41;0;0;0;0;2.7;0;2.7;0;0;0;0;2.7;0;0;21.62;2.7;18.92;18.92;2.7;16.22;10.81;0;2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.51;10.81;0;0;8.11;0;0;0;0;0;0;0;0;2.7;0;0;0;0;5.41;13.51;0;2.7;8.11;0;0;5.41;13.51;2.7;5.41;0;0;0;0;0;0;27.03;10.81;0;0;0;5.41;10.81;0
Anxiety/paranoia through the roof! Woke up 4:30am scratchy throat, pressure in nose and chest. Instant panic I've caught CV. Raining outside, window open...more likely hay fever! Taken 1hr to calm myself down #panic #anxiety #Covid_19 #worrier;Anxiety/paranoia through the roof! Woke up 4:30am scratchy throat, pressure in nose and chest. Instant panic I've caught CV. Raining outside, window open...more likely hay fever! Taken 1hr to calm myself down #panic #anxiety #Covid_19 #worrier;PP;PO;PP;PP;PP;PP;PP;Round1;1;39;96.67;15.29;66.8;1;7.8;28.21;87.18;43.59;28.21;5.13;5.13;5.13;0;0;0;0;0;5.13;2.56;10.26;15.38;2.56;0;2.56;0;10.26;12.82;2.56;0;0;0;0;2.56;0;2.56;0;0;0;2.56;0;0;0;15.38;2.56;12.82;15.38;2.56;12.82;12.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.13;0;2.56;2.56;0;0;17.95;5.13;2.56;0;2.56;0;0;0;0;0;0;5.13;0;0;0;0;0;0;2.56;15.38;0;2.56;10.26;0;0;2.56;2.56;7.69;0;0;0;0;0;0;0;43.59;12.82;5.13;0;5.13;2.56;17.95;0
Common symptoms of #COVID19 are fever :hot_face:, sore throat and shortness of breath ... if you feel you have these symptoms DONT PANIC ! STAY HOME and call your health care provider if your symptoms get worst and you’re expecting shortness of breath severely go to your local hospital;Common symptoms of #COVID19 are fever :hot_face:, sore throat and shortness of breath ... if you feel you have these symptoms DONT PANIC ! STAY HOME and call your health care provider if your symptoms get worst and you’re expecting shortness of breath severely go to your local hospital;PO;PO;PO;PO;PO;PO;PO;Round1;1;46;18.75;99;44.75;1;15.33;21.74;93.48;60.87;41.3;15.22;13.04;0;0;13.04;0;0;2.17;8.7;0;2.17;8.7;8.7;0;10.87;2.17;19.57;10.87;0;0;0;0;0;6.52;0;6.52;2.17;0;0;4.35;0;4.35;0;13.04;2.17;10.87;4.35;0;4.35;2.17;0;0;0;17.39;4.35;2.17;0;0;0;2.17;13.04;0;0;0;0;0;0;0;0;2.17;0;2.17;0;0;0;21.74;17.39;8.7;0;0;0;0;0;0;0;0;2.17;0;0;0;0;0;0;13.04;15.22;0;2.17;8.7;0;0;6.52;0;0;8.7;2.17;0;0;0;0;0;15.22;6.52;2.17;0;2.17;2.17;2.17;2.17
"I've just discovered this if you are a #vulnerable person. Unfortunately it doesn't include people with #mentalillness. This could include #anxiety and #agoraphobia which makes it extremely difficult to get out.

Why? #coronavirus

https://t.co/pGlQJYvu7D";"I've just discovered this if you are a #vulnerable person. Unfortunately it doesn't include people with #mentalillness. This could include #anxiety and #agoraphobia which makes it extremely difficult to get out.

Why? #coronavirus

";UN;PO;UN;UN;PO;PP;NoMajority;Round1;1;33;2.54;23.94;13.81;1;6.6;33.33;96.97;81.82;60.61;21.21;6.06;3.03;0;3.03;0;0;15.15;9.09;3.03;0;9.09;12.12;12.12;6.06;3.03;27.27;6.06;0;3.03;0;0;3.03;24.24;0;24.24;3.03;6.06;3.03;3.03;3.03;6.06;0;6.06;0;6.06;3.03;0;3.03;3.03;0;0;0;6.06;0;0;0;0;0;0;6.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.06;6.06;3.03;0;3.03;0;0;0;0;0;0;3.03;0;0;0;0;0;3.03;9.09;3.03;0;0;3.03;0;0;0;0;6.06;9.09;0;0;0;0;0;0;33.33;9.09;0;3.03;0;6.06;15.15;0
My cousin tested positive for COVID-19. He is fine, thankfully, and resting at home. I had a mini panic attack when I read his post though. I obviously know it's a big deal, but it hit family, and that hit hard. #stayhomestaysafe;My cousin tested positive for COVID-19. He is fine, thankfully, and resting at home. I had a mini panic attack when I read his post though. I obviously know it's a big deal, but it hit family, and that hit hard. #stayhomestaysafe;PP;PO;PP;PO;PP;PP;PP;Round1;1;42;3.52;9.23;39.59;1;8.4;14.29;95.24;73.81;52.38;21.43;14.29;9.52;0;0;4.76;0;7.14;11.9;4.76;2.38;4.76;7.14;9.52;11.9;0;16.67;11.9;4.76;0;0;0;0;9.52;0;9.52;2.38;0;0;0;2.38;4.76;0;14.29;4.76;9.52;7.14;2.38;4.76;4.76;0;0;0;7.14;0;0;0;0;0;0;7.14;2.38;0;0;4.76;0;0;0;0;9.52;2.38;2.38;4.76;0;0;7.14;7.14;2.38;0;4.76;0;0;0;0;0;0;0;0;0;0;0;0;0;7.14;4.76;0;0;2.38;0;0;2.38;2.38;4.76;4.76;0;0;0;0;0;0;26.19;9.52;9.52;0;0;2.38;4.76;0
"Hi Everyone-

I, like many, have been suffering from panic attacks during the #COVID19 #pandemic.
I decided to find an online self-help treatment.
The #KimLittle Podcast is a quick relaxation which helped me.

Stay safe and take care of yourself. :heart:️ https://t.co/1gPYi6VrBq";"Hi Everyone-

I, like many, have been suffering from panic attacks during the #COVID19 #pandemic.
I decided to find an online self-help treatment.
The #KimLittle Podcast is a quick relaxation which helped me.

Stay safe and take care of yourself. :heart:️ ";PP;PO;PP;PP;?;?;NoMajority;Round1;1;40;85.68;26.5;78.67;59.44;8;30;95;75;50;15;10;7.5;0;2.5;0;0;5;12.5;10;2.5;12.5;7.5;0;2.5;0;25;10;2.5;2.5;2.5;0;0;10;2.5;7.5;5;0;0;0;0;2.5;0;22.5;12.5;10;10;2.5;7.5;5;0;0;0;12.5;7.5;5;2.5;0;0;2.5;5;0;0;0;0;2.5;0;0;2.5;5;5;0;0;0;0;10;10;2.5;2.5;5;0;0;0;0;0;0;2.5;0;0;0;0;2.5;0;17.5;5;0;0;2.5;0;0;0;5;7.5;2.5;0;0;0;0;0;0;27.5;10;5;0;0;0;12.5;2.5
Gosh I’m worried about the PM. When I first heard he had #covid19 I had a panic attack. This experience must be so frightening and lonely and I do wish him a quick recovery. I’ve been crying a lot thinking of people’s suffering in this pandemic. :pensive: #everylifematters;Gosh I’m worried about the PM. When I first heard he had #covid19 I had a panic attack. This experience must be so frightening and lonely and I do wish him a quick recovery. I’ve been crying a lot thinking of people’s suffering in this pandemic. :pensive: #everylifematters;PP;PO;PP;PP;PP;PP;PP;Round1;1;47;6.86;18.61;4.07;1;9.4;21.28;91.49;76.6;59.57;19.15;14.89;10.64;0;0;4.26;0;4.26;17.02;8.51;4.26;6.38;17.02;6.38;8.51;0;27.66;8.51;4.26;0;0;0;0;10.64;0;10.64;2.13;0;6.38;0;4.26;0;0;19.15;2.13;17.02;14.89;0;14.89;8.51;0;4.26;0;8.51;2.13;0;0;0;0;2.13;6.38;0;0;0;4.26;0;0;0;0;0;0;0;0;0;0;8.51;8.51;4.26;0;4.26;0;0;0;0;0;2.13;0;0;0;0;0;0;0;0;4.26;0;0;2.13;0;2.13;0;4.26;10.64;2.13;2.13;0;0;0;0;0;19.15;8.51;0;0;0;6.38;4.26;2.13
Anxiety attack? Panic attack? I don't what I am feeling right now. My muscles are shaking.  I want to go out of my house just to breathe but I can't because of curfew. #Covid_19 #stress #depressed #OFW;Anxiety attack? Panic attack? I don't what I am feeling right now. My muscles are shaking.  I want to go out of my house just to breathe but I can't because of curfew. #Covid_19 #stress #depressed #OFW;PP;PO;PP;PO;PP;PP;PP;Round1;1;37;11.45;1;98.19;1;6.17;21.62;91.89;59.46;54.05;18.92;16.22;16.22;0;0;0;0;2.7;5.41;0;2.7;13.51;10.81;5.41;5.41;5.41;16.22;0;0;2.7;0;0;2.7;13.51;0;13.51;2.7;2.7;5.41;0;0;5.41;0;16.22;0;16.22;13.51;0;13.51;10.81;0;2.7;0;2.7;2.7;0;0;2.7;0;0;0;0;0;0;0;0;0;0;0;2.7;0;2.7;0;0;0;13.51;8.11;0;0;8.11;0;0;0;0;0;2.7;0;0;0;0;0;0;0;10.81;8.11;0;2.7;5.41;0;0;2.7;2.7;0;13.51;0;0;0;0;0;0;32.43;8.11;0;5.41;0;5.41;13.51;0
There are people who want to find a way out of this, and there are people who are addicted to panic, charts, indefinite shutdown, and words like “new normal.”  If you’re the latter - don’t @ me.  We’ve nothing in common. #coronavirus;There are people who want to find a way out of this, and there are people who are addicted to panic, charts, indefinite shutdown, and words like “new normal.”  If you’re the latter - don’t @ me.  We’ve nothing in common. #coronavirus;UN;PO;PO;PO;PO;PP;PO;Round1;1;40;20.35;69.2;89.39;20.23;10;12.5;95;75;60;15;12.5;2.5;2.5;2.5;0;0;2.5;7.5;5;0;15;15;5;7.5;5;20;10;0;2.5;2.5;0;0;12.5;2.5;10;2.5;0;2.5;5;0;2.5;0;5;2.5;2.5;2.5;0;2.5;2.5;0;0;0;12.5;2.5;0;0;0;0;2.5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;2.5;0;2.5;0;0;0;0;0;2.5;0;0;0;0;0;0;0;12.5;17.5;0;0;15;0;0;0;5;2.5;12.5;0;0;0;0;0;0;37.5;7.5;10;0;0;7.5;12.5;0
Thank you to @danjlevy and the amazing cast of #SchittsCreek . I have such severe panic attacks (worse during this #coronavirus pandemic), and this show calmed me down and gave me a focus I desperately needed. :pray::heart:️;Thank you to @danjlevy and the amazing cast of #SchittsCreek . I have such severe panic attacks (worse during this #coronavirus pandemic), and this show calmed me down and gave me a focus I desperately needed. :pray::heart:️;PP;PO;PP;PO;PP;?;NoMajority;Round1;1;35;56.86;13.3;24.32;1;11.67;20;91.43;71.43;51.43;20;14.29;11.43;0;2.86;0;0;5.71;14.29;5.71;0;11.43;2.86;0;8.57;0;14.29;8.57;0;0;0;0;0;2.86;0;2.86;0;0;2.86;0;0;0;0;25.71;8.57;17.14;14.29;5.71;8.57;5.71;0;0;0;8.57;5.71;2.86;2.86;0;0;2.86;2.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.43;11.43;5.71;0;5.71;0;0;0;0;5.71;0;0;0;0;0;0;0;0;5.71;8.57;2.86;0;2.86;2.86;0;0;2.86;8.57;0;0;0;0;0;0;0;22.86;5.71;2.86;0;0;0;14.29;5.71
I've seen all the charts about the symptoms of cold vs flu vs allergies vs #COVID19... But how do I know if my chest tightness and shortness of breath are coronavirus or just a good ol' fashioned 48-hour long panic attack?;I've seen all the charts about the symptoms of cold vs flu vs allergies vs #COVID19... But how do I know if my chest tightness and shortness of breath are coronavirus or just a good ol' fashioned 48-hour long panic attack?;PP;PO;PP;PO;PO;PP;NoMajority;Round1;1;41;69.71;1;97.82;3.01;20.5;17.07;90.24;60.98;51.22;7.32;7.32;7.32;0;0;0;0;0;12.2;7.32;4.88;14.63;7.32;7.32;9.76;0;12.2;4.88;4.88;0;0;0;0;21.95;2.44;19.51;4.88;2.44;0;4.88;0;14.63;0;7.32;2.44;4.88;7.32;2.44;4.88;4.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.51;14.63;7.32;0;4.88;0;0;0;0;0;0;0;0;0;0;0;0;0;7.32;9.76;0;0;2.44;2.44;0;4.88;0;4.88;2.44;0;0;0;0;0;0;19.51;7.32;0;2.44;0;4.88;4.88;0
"Many people are feeling more anxious now - try to limit social media &amp; use trusted sources. Talk to friends &amp; family. More tips on website. Coronavirus and anxiety: 'Following the news made me have a panic attack' ⁦@MaudsleyNHS⁩ #COVID19 #UAE  https://t.co/gSbsoTSvR9";"Many people are feeling more anxious now - try to limit social media &amp; use trusted sources. Talk to friends &amp; family. More tips on website. Coronavirus and anxiety: 'Following the news made me have a panic attack' ⁦@MaudsleyNHS⁩ #COVID19 #UAE  ";PO;PO;PO;PO;PO;PO;PO;Round1;1;40;89.52;40.06;1;1;10;27.5;87.5;55;32.5;2.5;2.5;2.5;0;0;0;0;0;12.5;5;2.5;7.5;5;2.5;2.5;0;20;12.5;10;7.5;5;2.5;0;12.5;0;12.5;2.5;7.5;2.5;0;0;0;0;12.5;2.5;10;10;0;10;10;0;0;0;15;12.5;0;0;0;0;10;2.5;0;2.5;0;0;7.5;0;0;7.5;0;0;0;0;0;0;7.5;7.5;2.5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;12.5;2.5;0;0;0;0;0;2.5;2.5;5;5;0;0;0;0;0;0;35;7.5;0;0;0;5;22.5;0
Starting to worry about going outside, I think my agoraphobia is returning, I really don’t want to go outside at all, #COVID19Aus #coronavirus #Anxiety #30MoreDays #HighRiskCovid19 #COVIDー19;Starting to worry about going outside, I think my agoraphobia is returning, I really don’t want to go outside at all, #COVID19Aus #coronavirus #Anxiety #30MoreDays #HighRiskCovid19 #COVIDー19;PP;PP;PP;PP;PP;?;PP;Round1;1;27;75.62;1;99;1;27;40.74;100;70.37;48.15;11.11;11.11;11.11;0;0;0;0;0;7.41;0;14.81;22.22;7.41;7.41;0;3.7;29.63;7.41;3.7;0;0;0;0;18.52;3.7;14.81;3.7;0;3.7;0;3.7;0;0;7.41;0;7.41;7.41;0;7.41;7.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.41;7.41;3.7;0;3.7;0;0;0;0;0;3.7;0;0;0;0;0;0;0;3.7;18.52;0;11.11;14.81;0;0;0;3.7;0;11.11;3.7;0;0;0;0;0;37.04;0;11.11;0;0;3.7;22.22;0
Its 2am. I am having a bad night. Many are having a worse one than me. My chest feels tight. I can't tell if it is a panic attack ramping up or Corona settling in. Such horror in the world. We are lied to daily, and many don't care. :broken_heart: #coronavirus #Quarantine #weneedaleader;Its 2am. I am having a bad night. Many are having a worse one than me. My chest feels tight. I can't tell if it is a panic attack ramping up or Corona settling in. Such horror in the world. We are lied to daily, and many don't care. :broken_heart: #coronavirus #Quarantine #weneedaleader;PP;PO;?;PP;PO;PP;NoMajority;Round1;1;52;31.07;1;97.38;1;6.5;9.62;90.38;75;59.62;13.46;9.62;7.69;1.92;0;0;0;3.85;19.23;7.69;3.85;9.62;15.38;0;7.69;3.85;23.08;11.54;5.77;1.92;1.92;0;0;13.46;0;11.54;1.92;0;1.92;3.85;0;9.62;0;9.62;0;9.62;7.69;0;7.69;5.77;0;0;0;5.77;3.85;0;0;0;0;1.92;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.69;5.77;1.92;0;3.85;0;0;0;0;0;0;0;0;0;3.85;0;0;0;1.92;11.54;0;0;7.69;0;0;3.85;3.85;1.92;11.54;0;0;0;0;0;0;25;13.46;1.92;0;0;3.85;5.77;1.92
